c_hlevel,c_fullname,c_basecode,c_name,c_visualattributes,m_applied_path,c_tooltip,c_synonym_cd,update_date,sourcesystem_cd,c_dimcode,c_operator,c_columndatatype,c_columnname,c_tablename,c_facttablecolumn
2,\i2b2\naaccr\csterms\,,Cancer Staging: Site-Specific Factors,CAE,@,b'',N,,,\i2b2\naaccr\csterms\,like,@,concept_path,concept_dimension,concept_cd
3,\i2b2\naaccr\csterms\Anus\,,"Anus, Anal Canal, and Other Parts of Rectum",FAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\000\,CS|Anus|1:000,000: HPV negative for high-risk and low-risk types,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\010\,CS|Anus|1:010,010: HPV positive for low-risk types only,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\020\,CS|Anus|1:020,020: HPV positive for specified high risk type(s) other than types 16 or 18,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\020\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\030\,CS|Anus|1:030,030: HPV positive for high-risk type 16 ,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\030\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\040\,CS|Anus|1:040,040: HPV positive for high-risk type18 ,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\040\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\050\,CS|Anus|1:050,050: HPV positive for high-risk types16 AND 18,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\050\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\060\,CS|Anus|1:060,"060: HPV positive for high-risk type(s), NOS, high-risk type(s) not stated",LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\060\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\070\,CS|Anus|1:070,"070: HPV positive, NOS, risk and type(s) not stated",LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\070\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\888\,CS|Anus|1:888,888: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\888\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\988\,CS|Anus|1:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\997\,CS|Anus|1:997,"997: Test ordered, results not in chart",LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\997\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\998\,CS|Anus|1:998,998: Test not done (test not ordered and not performed),LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\998\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\999\,CS|Anus|1:999,999: Unknown or no information,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\,CS|Anus|1:,01: Human Papilloma Virus (HPV) Status,FAE,@,b'',N,,,\i2b2\naaccr\csterms\Anus\CS Site-Specific Factor 1\,like,@,concept_path,concept_dimension,concept_cd
3,\i2b2\naaccr\csterms\CysticDuct\,,Cystic Duct,FAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\010\,CS|CysticDuct|25:010,010: Perihilar bile duct(s),LAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\010\,like,@,concept_path,concept_dimension,concept_cd
