naaccrNum,sectionId,section,naaccrId,naaccrName,length,source,loinc_num,scale_typ,AnswerListId,scheme,valtype_cd,phi_id_kind
380,1,Cancer Identification,sequenceNumberCentral,Sequence Number--Central,2,SEER,21853-7,Ord,LL210-6,,@,
390,1,Cancer Identification,dateOfDiagnosis,Date of Diagnosis,8,SEER/CoC,21854-5,Qn,,,D,
391,1,Cancer Identification,dateOfDiagnosisFlag,Date of Diagnosis Flag,2,NAACCR,59516-5,Nom,LL929-1,,@,
400,1,Cancer Identification,primarySite,Primary Site,4,SEER/CoC,21855-2,Nom,,,@,
410,1,Cancer Identification,laterality,Laterality,1,SEER/CoC,,Nom,,laterality,@,
420,1,Cancer Identification,histologyIcdO2,Histology (92-00) ICD-O-2,4,SEER/CoC,21856-0,Nom,,,@,
430,1,Cancer Identification,behaviorIcdO2,Behavior (92-00) ICD-O-2,1,SEER/CoC,21857-8,Nom,LL212-2,,@,
439,1,Cancer Identification,dateOfMultTumorsFlag,Date of Mult Tumors Flag,2,NAACCR,59521-5,Nom,LL930-9,,@,
440,1,Cancer Identification,grade,Grade,1,SEER/CoC,21858-6,Nom,LL213-0,grade,@,
441,1,Cancer Identification,gradePathValue,Grade Path Value,1,AJCC,59542-1,Nom,LL931-7,gradePathValue,@,
442,1,Cancer Identification,ambiguousTerminologyDx,Ambiguous Terminology DX,1,SEER,42028-1,Nom,,ambiguousTerminologyDx,@,
443,1,Cancer Identification,dateConclusiveDx,Date Conclusive DX,8,SEER,42029-9,Qn,,,D,
444,1,Cancer Identification,multTumRptAsOnePrim,Mult Tum Rpt as One Prim,2,SEER,42030-7,Nom,,multTumRptAsOnePrim,@,
445,1,Cancer Identification,dateOfMultTumors,Date of Mult Tumors,8,SEER,42031-5,Qn,,,D,
446,1,Cancer Identification,multiplicityCounter,Multiplicity Counter,2,SEER,42032-3,Qn,,,N,
448,1,Cancer Identification,dateConclusiveDxFlag,Date Conclusive DX Flag,2,NAACCR,59511-6,Nom,LL932-5,,@,
449,1,Cancer Identification,gradePathSystem,Grade Path System,1,AJCC,59541-3,Nom,LL933-3,gradePathSystem,@,
450,1,Cancer Identification,siteCodingSysCurrent,Site Coding Sys--Current,1,NAACCR,42129-7,Nom,LL214-8,site_coding_system,@,
460,1,Cancer Identification,siteCodingSysOriginal,Site Coding Sys--Original,1,NAACCR,21859-4,Nom,LL214-8,site_coding_system,@,
470,1,Cancer Identification,morphCodingSysCurrent,Morph Coding Sys--Current,1,NAACCR,42034-9,Nom,LL216-3,morphCodingSysCurrent,@,
480,1,Cancer Identification,morphCodingSysOriginl,Morph Coding Sys--Originl,1,NAACCR,21860-2,Nom,LL216-3,morphCodingSysOriginl,@,
490,1,Cancer Identification,diagnosticConfirmation,Diagnostic Confirmation,1,SEER/CoC,21861-0,Nom,LL218-9,diagnosticConfirmation,@,
500,1,Cancer Identification,typeOfReportingSource,Type of Reporting Source,1,SEER,21862-8,Nom,LL220-5,typeOfReportingSource,@,
501,1,Cancer Identification,casefindingSource,Casefinding Source,2,NAACCR,42035-6,Nom,,casefindingSource,@,
522,1,Cancer Identification,histologicTypeIcdO3,Histologic Type ICD-O-3,4,SEER/CoC,31205-8,Nom,,,@,
523,1,Cancer Identification,behaviorCodeIcdO3,Behavior Code ICD-O-3,1,SEER/CoC,31206-6,Nom,,,@,
70,2,Demographic,addrAtDxCity,Addr at DX--City,50,CoC,,Nom,,,Ti,geo
80,2,Demographic,addrAtDxState,Addr at DX--State,2,CoC,,Nom,,state,@,
81,2,Demographic,stateAtDxGeocode19708090,State at DX Geocode 1970/80/90,2,NAACCR,,Nom,,,@,
82,2,Demographic,stateAtDxGeocode2000,State at DX Geocode 2000,2,NAACCR,,Nom,,,@,
83,2,Demographic,stateAtDxGeocode2010,State at DX Geocode 2010,2,NAACCR,,Nom,,,@,
84,2,Demographic,stateAtDxGeocode2020,State at DX Geocode 2020,2,NAACCR,,Nom,,,@,
89,2,Demographic,countyAtDxAnalysis,County at DX Analysis,3,NAACCR,,Nom,,,Ti,geo
90,2,Demographic,countyAtDx,County at DX Reported,3,FIPS/SEER,,Nom,,,Ti,geo
94,2,Demographic,countyAtDxGeocode1990,County at DX Geocode 1970/80/90,3,NAACCR,,Nom,,,Ti,geo
95,2,Demographic,countyAtDxGeocode2000,County at DX Geocode2000,3,NAACCR,,Nom,,,Ti,geo
96,2,Demographic,countyAtDxGeocode2010,County at DX Geocode2010,3,NAACCR,,Nom,,,Ti,geo
97,2,Demographic,countyAtDxGeocode2020,County at DX Geocode2020,3,NAACCR,,Nom,,,Ti,geo
100,2,Demographic,addrAtDxPostalCode,Addr at DX--Postal Code,9,CoC,,Nom,,,Ti,geo
102,2,Demographic,addrAtDxCountry,Addr at DX--Country,3,NAACCR,,Nom,,iso_country,@,
110,2,Demographic,censusTract19708090,Census Tract 1970/80/90,6,SEER,,Nom,,,Ti,geo
120,2,Demographic,censusCodSys19708090,Census Cod Sys 1970/80/90,1,SEER,21832-1,Nom,LL71-2,censusCodSys19708090,@,
125,2,Demographic,censusTract2020,Census Tract 2020,6,NAACCR,,Nom,,,Ti,geo
130,2,Demographic,censusTract2000,Census Tract 2000,6,NAACCR,21833-9,Nom,LL85-2,,Ti,geo
135,2,Demographic,censusTract2010,Census Tract 2010,6,NAACCR,,Nom,,,Ti,geo
145,2,Demographic,censusTrPovertyIndictr,Census Tr Poverty Indictr,1,NAACCR,,Nom,,censusTrPovertyIndictr,@,
150,2,Demographic,maritalStatusAtDx,Marital Status at DX,1,SEER,,Nom,,maritalStatusAtDx,@,
160,2,Demographic,race1,Race 1,2,SEER/CoC,,Nom,,race,@,
161,2,Demographic,race2,Race 2,2,SEER/CoC,,Nom,,race,@,
162,2,Demographic,race3,Race 3,2,SEER/CoC,,Nom,,race,@,
163,2,Demographic,race4,Race 4,2,SEER/CoC,,Nom,,race,@,
164,2,Demographic,race5,Race 5,2,SEER/CoC,,Nom,,race,@,
170,2,Demographic,raceCodingSysCurrent,Race Coding Sys--Current,1,NAACCR,21835-4,Nom,LL127-2,race_coding_system,@,
180,2,Demographic,raceCodingSysOriginal,Race Coding Sys--Original,1,NAACCR,21836-2,Nom,LL127-2,race_coding_system,@,
190,2,Demographic,spanishHispanicOrigin,Spanish/Hispanic Origin,1,SEER/CoC,21837-0,Nom,LL146-2,spanishHispanicOrigin,@,
191,2,Demographic,nhiaDerivedHispOrigin,NHIA Derived Hisp Origin,1,NAACCR,42024-0,Nom,,spanishHispanicOrigin,@,
192,2,Demographic,ihsLink,IHS Link,1,NPCR,42025-7,Nom,,,@,
193,2,Demographic,raceNapiia,Race--NAPIIA(derived API),2,NAACCR,53720-9,Nom,LL613-1,race,@,
200,2,Demographic,computedEthnicity,Computed Ethnicity,1,SEER,21838-8,Nom,LL162-9,computedEthnicity,@,
210,2,Demographic,computedEthnicitySource,Computed Ethnicity Source,1,SEER,21839-6,Nom,LL175-1,computedEthnicitySource,@,
220,2,Demographic,sex,Sex,1,SEER/CoC,21840-4,Nom,LL183-5,sex,@,
230,2,Demographic,ageAtDiagnosis,Age at Diagnosis,3,SEER/CoC,21841-2,Qn,LL184-3,,Ni,
240,2,Demographic,dateOfBirth,Date of Birth,8,SEER/CoC,,Qn,,,D,
241,2,Demographic,dateOfBirthFlag,Date of Birth Flag,2,NAACCR,59514-0,Nom,LL923-4,,@,
250,2,Demographic,birthplace,Birthplace,3,SEER/CoC,21842-0,Nom,LL197-5,place,@,
252,2,Demographic,birthplaceState,Birthplace--State,2,NAACCR,,Nom,,state,@,
254,2,Demographic,birthplaceCountry,Birthplace--Country,3,NAACCR,,Nom,,iso_country,@,
270,2,Demographic,censusOccCode19702000,Census Occ Code 1970-2000,3,Census/NPCR,21843-8,Nom,LL3926-4,censusOccCode19702000,@,
272,2,Demographic,censusIndCode2010,Census Ind Code 2010 CDC,4,Census/NPCR,,Nom,,censusIndCode2010,@,
280,2,Demographic,censusIndCode19702000,Census Ind Code 1970-2000,3,Census/NPCR,21844-6,Nom,LL3925-6,censusIndCode19702000,@,
282,2,Demographic,censusOccCode2010,Census Occ Code 2010 CDC,4,Census/NPCR,,Nom,,censusOccCode2010,@,
290,2,Demographic,occupationSource,Occupation Source,1,NPCR,21845-3,Nom,LL200-7,occupationSource,@,
300,2,Demographic,industrySource,Industry Source,1,NPCR,21846-1,Nom,LL202-3,industrySource,@,
310,2,Demographic,textUsualOccupation,Text--Usual Occupation,100,NPCR,21847-9,Nar,,,Ti,
320,2,Demographic,textUsualIndustry,Text--Usual Industry,100,NPCR,21848-7,Nar,,,Ti,
330,2,Demographic,censusOccIndSys7000,Census Occ/Ind Sys 70-00,1,NPCR,21849-5,Nom,LL203-1,censusOccIndSys7000,@,
339,2,Demographic,ruca2000,RUCA 2000,1,NAACCR,,Nom,,ruca,@,
341,2,Demographic,ruca2010,RUCA 2010,1,NAACCR,,Nom,,ruca,@,
345,2,Demographic,uric2000,URIC 2000,1,NAACCR,,Nom,,uric,@,
346,2,Demographic,uric2010,URIC 2010,1,NAACCR,,Nom,,uric,@,
361,2,Demographic,censusBlockGroup2020,Census Block Group 2020,1,Census,,Nom,,,Ti,geo
362,2,Demographic,censusBlockGroup2000,Census Block Group 2000,1,Census,21851-1,Nom,,,Ti,geo
363,2,Demographic,censusBlockGroup2010,Census Block Group 2010,1,Census,,Nom,,,Ti,geo
364,2,Demographic,censusTrCert19708090,Census Tr Cert 1970/80/90,1,SEER,21852-9,Nom,LL209-8,censusTrCert19708090,@,
365,2,Demographic,censusTrCertainty2000,Census Tr Certainty 2000,1,NAACCR,42026-5,Nom,,census_tract_certainty,@,
366,2,Demographic,gisCoordinateQuality,GIS Coordinate Quality,2,NAACCR,42027-3,Nom,,gisCoordinateQuality,@,
367,2,Demographic,censusTrCertainty2010,Census Tr Certainty 2010,1,NAACCR,,Nom,,census_tract_certainty,@,
368,2,Demographic,censusBlockGrp197090,Census Block Grp 1970/80/90,1,Census,,Nom,,,Ti,geo
369,2,Demographic,censusTractCertainty2020,Census Tract Certainty 2020,1,NAACCR,,Nom,,census_tract_certainty,@,
1832,2,Demographic,addrCurrentCountry,Addr Current--Country,3,NAACCR,,Nom,,iso_country,@,
1847,2,Demographic,followupContactCountry,FollowUp Contact--Country,3,NAACCR,,Nom,,iso_country,@,
1942,2,Demographic,placeOfDeathState,Place of Death--State,2,NAACCR,,Nom,,state,@,
1944,2,Demographic,placeOfDeathCountry,Place of Death--Country,3,NAACCR,,Nom,,iso_country,@,
3300,2,Demographic,ruralurbanContinuum1993,RuralUrban Continuum 1993,2,NAACCR,39810-7,Ord,LL204-9,ruralurbanContinuum1993,@,
3310,2,Demographic,ruralurbanContinuum2003,RuralUrban Continuum 2003,2,NAACCR,42125-5,Ord,,ruralurbanContinuum2003,@,
3312,2,Demographic,ruralurbanContinuum2013,RuralUrban Continuum 2013,2,NAACCR,,Nom,,ruralurbanContinuum2013,@,
