CODE_SYSTEM,CODE_VALUE,LOINC_NUM,COMPONENT,DisplayName,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,AnswerListId,ANSWER_LIST_TYPE,EXAMPLE_UNITS,UnitsAndRange,LONG_COMMON_NAME,DefinitionDescription
NAACCR_ID,10,21827-1,"Transmitted record type","",Type,Pt,"NAACCR message",Nom,"",LL51-4,NORMATIVE,"","","Transmitted record type NAACCR message","Generated field that identifies which of the seven NAACCR data exchange record types is being used in a file of data exchange records. A file should have records of only one type... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,21,42022-4,"NAACCR hospital tumor registration.permanent","",ID,Pt,^Patient,Nom,"","","","","","NAACCR hospital tumor registration.permanent [Identifier]","The unique, non-repeating number automatically assigned to patients by the hospital tumor registry software system. The same number is used for all the patient's subsequent tumors. This Patient System ID-Hosp number should not be reused when a patient is deleted. This number is different from Accession Number-Hosp [550]. While Accession Number-Hosp [550] is subject to change, the Patient System ID-Hosp number is created and maintained by the hospital tumor registry's software system, and requires no key entry. Because the Patient System ID-Hosp number is unchanging, it affords an absolute linkage between a hospital patient record and a central registry's patient record.

This provides a stable identifier to link back to all reported tumors for a patient. It also serves as a reliable linking identifier; useful when central registries send follow-up information back to hospitals. Other identifiers such as social security number and medical record number, while useful, are subject to change and are thus less useful for this type of record linkage.
.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,30,21828-9,"Cancer registry","",Type,Pt,"NAACCR message",Nom,"",LL201-5,NORMATIVE,"","","Cancer registry NAACCR message","A computer-generated code that best describes the type of registry generating the record; used when cases are pooled from multiple registries (a hospital-based registry reporting to a state should have a ""3"" in this field). Facilitates tracking of data sources when data from multiple registries are pooled... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,35,42023-2,"NAACCR facility identification system coding system","",Prid,Pt,Cancer.XXX,Nom,"",LL206-4,NORMATIVE,"","","NAACCR facility identification system coding system","The FIN coding system is a generated code that identifies the coding system used by individual facilities (hospital, clinics, or other providers) submitting data to a registry. This field identifies the coding system used by facilities in the following seven fields of the NAACCR layout:

Registry ID [40] (when Registry Type [30] = 3)
Reporting Hospital [540]
Institution Referred From [2410]
Institution Referred To [2420]
Last Follow-Up Hospital [2430]
Following Registry [2440]
Archive FIN [3100]

Within a single NAACCR record, all of these fields must be coded using the same FIN coding system... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,40,21829-7,"Institution data source","",ID,Pt,"Registry message",Nom,"","","","","","Institution data source Registry message","A unique code that represents the data transmission source. This item identifies the central or facility registry that transmits the record. Used to track data submission flow and to resolve transmission issues... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,50,21830-5,Version,"",Type,Pt,"NAACCR message",Nom,"",LL219-7,NORMATIVE,"","","Version NAACCR message","This item applies only to record types I, C, A and M. Code the NAACCR record version used to create the record.

Note: The correction record (U) has its own record version data item... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,60,21831-3,"Unique tumor case ID","",ID,Pt,Cancer.XXX,Nom,"","","","","","Unique tumor case ID Cancer","A system-generated number assigned to each tumor. The number should never change even if the tumor sequence is changed or a record (tumor) is deleted. This is a unique number that identifies a specific tumor so data can be linked. ""Sequence Number"" cannot be used as a link because the number is changed if a report identifies an earlier tumor or if a tumor record is deleted... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,120,21832-1,"Coding system 1970&80&90","",Type,Pt,"Census tract at cancer XXX Dx",Nom,"",LL71-2,NORMATIVE,"","","Coding system 1970/80/90 Census tract at cancer diagnosis","Identified the set of Census Bureau census tract definitions (boundaries) that were used to code the census tract in Census Tract 1970/80/90 [110] for a specific record. Allows for changes in census tracts over time. The census tract definition used to code the case must be recorded so that data are correctly grouped and analyzed. If the coding system were not recorded, the census codes would have to be converted or recoded every time the census tracts were changed... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,130,21833-9,"Alternate census tract at cancer XXX Dx","",ID,Pt,^Patient,Nom,"",LL85-2,NORMATIVE,"","","Alternate census tract at cancer diagnosis","This field is provided for coding census tract of patient's residence at time of diagnosis. See Census Tract 1970/80/90 [110]. Codes are those used by the U.S. Census Bureau for the Year 2000 Census. Census tract codes have a 4-digit basic number and also may have a 2-digit suffix. Census tract numbers range from 0001.01 to 9999.98. See the Census Bureau's ""Area Classifications"" at the following website: http://www.census.gov/prod/cen2000/doc/sf1.pdf for further details. Census tract codes allow central registries to calculate incidence rates for geographical areas having population estimates. This field allows a central registry to add Year 2000 Census tracts to tumors diagnosed in previous years, without losing the codes in data item 110.

The Census Bureau provides population data for census tracts. Those rates can be used for general surveillance or special geographical and socioeconomic analysis.

Because census tracts for particular cases can change between censuses, the central registry may wish to assign an alternate census tract code to its cases. For example, a registry may code its 1985 cases using both the 1980 and 1990 census tract boundaries. The central registry can use this information for different comparisons... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,140,21834-7,"Coding system","",Type,Pt,"Census tract at cancer XXX Dx.alternate",Nom,"",LL95-1,NORMATIVE,"","","Coding system Census tract at cancer diagnosis alternate","This data item was retired for Version 10 because Census Tract--2000 [130] is expected to contain only Census 2000 codes... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,170,21835-4,"Coding system.current","",Type,Pt,Race,Nom,"",LL127-2,NORMATIVE,"","","Coding system.current Race","Code describes how race currently is coded. If the data have been converted, this field shows the system to which it has been converted. Race 1 - 5 codes [160 - 164] have changed over time. To be able to accurately group and analyze the data, it is necessary to record the system used to record the race codes... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,180,21836-2,"Coding system.original","",Type,Pt,Race,Nom,"",LL127-2,NORMATIVE,"","","Coding system.original Race","Code that best describes how Race [160] originally was coded. If data have been converted, this field identifies the coding system originally used to code the case. Race 1 - 5 codes [160 - 164] have changed over time. Identifying both original and current coding systems used to code race promotes accurate data grouping and analysis... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,190,21837-0,"Hispanic origin","",Type,Pt,^Patient,Nom,"Best estimate",LL146-2,NORMATIVE,"","","Hispanic origin Best estimate","Code identifying persons of Spanish or Hispanic origin. This code is used by hospital and central registries to show the ""best guess"" as to whether or not the person should be classified as Hispanic for purposes of calculating cancer rates. If the patient has multiple tumors, all records should have the same code.

Reference to Census 2000 definitions for ethnicity and race: http://www.census.gov/prod/cen2000/doc/sf2.pdf

All information resources should be used to determine the correct code, including:
Stated ethnicity in the medical record
Stated Hispanic origin on the death certificate
Birthplace
Information about life history and/or language spoken found during the abstracting process
Patient's last name [2230] or maiden name [2390] found on a list of Hispanic names.

Some registries code the information from the medical record, others code ethnicity based on Spanish names, and others use a combination of methods.

Persons of Spanish or Hispanic origin may be of any race, but these categories generally are not used for Native Americans, Filipinos, etc., who may have Spanish names. If a patient has an Hispanic name, but there is reason to believe they are not Hispanic (e.g., the patient is Filipino, or the patient is a woman known to be non-Hispanic who has a Hispanic married name), the code in this field should be 0 (non-Spanish, non-Hispanic). The code in item Computed Ethnicity [200], however, would reflect the Hispanic name.

Assign code 7 if Hispanic ethnicity is based strictly on a computer list or algorithm (unless contrary evidence is available) and also code in Computed Ethnicity [200]. 

See also Computed Ethnicity [200].

Note: NAACCR recognizes that available definitions and abstracting instructions for Name--Last [2230] and Name--Maiden [2390] may be inadequate for describing names used in some cultures, including Hispanic cultures. Explicit instructions have not been provided for entering compound names, with or without hyphens or ""De."" Order of names, use of maternal and paternal names, and use of hyphens can vary across cultures. It is likely that abstracting and coding practice for these items varies across registries. Limitations inherent in these definitions should be kept in mind when using the data.

See the rationales for the Race 1-5 [160-164] and Computed Ethnicity [200]. Ethnic origin has a significant association with cancer rates and outcomes. Hispanic populations have different patterns of occurrence of cancer from other populations that may be included in the ""white"" category of Race [160]... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,191,42024-0,"NAACCR hispanic identification algorithm hispanic origin","",Prid,Pt,^Patient,Nom,Derived,"","","","","NAACCR hispanic identification algorithm hispanic origin Derived","The NAACCR Hispanic Identification Algorithm (NHIA) uses a combination of NAACCR variables to directly or indirectly classify cases as Hispanic for analytic purposes. It is possible to separate Hispanic ancestral subgroups (e.g., Mexican) when indirect assignment results from birthplace information but not from surname match. The algorithm uses the following NAACCR standard variables: Spanish/Hispanic Origin [190], Name-Last [2230], Name-Maiden [2390], Birthplace [250], Race 1 [160], and Sex [220]. Code 7 (Spanish surname only) of the Spanish/Hispanic Origin [190] data item became effective with 1994 diagnosis. It is recommended that NHIA should be run on 1995 and forward diagnosis. However, a central registry may run it on their data for prior years.

Sometimes despite best efforts to obtain complete information directly from the medical record, information is not available and is reported to the cancer registry as a missing data item. With regard to Hispanic ethnicity, some cancer registries have found it necessary to rely on indirect methods to populate this data element. The registries often have significant numbers or proportions of Hispanic populations in their jurisdiction.
.. NAACCR Data Standards and Data Dictionary Version 11"
