LOINC_NUMBER,COMPONENT,CODE_SYSTEM,CODE_VALUE,AnswerListId,AnswerListName,ANSWER_CODE,SEQUENCE_NO,ANSWER_STRING
21827-1,"Transmitted record type",NAACCR_ID,10,LL51-4,"CR_10_Record type",I,1,Incidence-only
21827-1,"Transmitted record type",NAACCR_ID,10,LL51-4,"CR_10_Record type",A,2,"Full Case Abstract"
21827-1,"Transmitted record type",NAACCR_ID,10,LL51-4,"CR_10_Record type",C,3,Confidential
21827-1,"Transmitted record type",NAACCR_ID,10,LL51-4,"CR_10_Record type",U,4,Correction/Update
21827-1,"Transmitted record type",NAACCR_ID,10,LL51-4,"CR_10_Record type",R,5,Analysis/research
21828-9,"Cancer registry",NAACCR_ID,30,LL201-5,"CR_30_Registry type",1,1,"Central Reg - pop based"
21828-9,"Cancer registry",NAACCR_ID,30,LL201-5,"CR_30_Registry type",2,2,"Central Reg - non-pop based"
21828-9,"Cancer registry",NAACCR_ID,30,LL201-5,"CR_30_Registry type",3,3,"Single Hospital"
42023-2,"NAACCR facility identification system coding system",NAACCR_ID,35,LL206-4,"CR_35_FIN coding system",1,1,"COC 6-digit codes"
42023-2,"NAACCR facility identification system coding system",NAACCR_ID,35,LL206-4,"CR_35_FIN coding system",2,2,"COC FIN 10-digit codes"
42023-2,"NAACCR facility identification system coding system",NAACCR_ID,35,LL206-4,"CR_35_FIN coding system",3,3,"NPI 8-digit codes"
42023-2,"NAACCR facility identification system coding system",NAACCR_ID,35,LL206-4,"CR_35_FIN coding system",4,4,"15-digit codes"
42023-2,"NAACCR facility identification system coding system",NAACCR_ID,35,LL206-4,"CR_35_FIN coding system",9,5,Unknown
21830-5,Version,NAACCR_ID,50,LL219-7,"CR_50_NAACCR record version",1,1,"1992-1994 version"
21830-5,Version,NAACCR_ID,50,LL219-7,"CR_50_NAACCR record version",4,2,"1995 version (v4.0)"
21830-5,Version,NAACCR_ID,50,LL219-7,"CR_50_NAACCR record version",5,3,"1996 version (v5.0, 5.1)"
21830-5,Version,NAACCR_ID,50,LL219-7,"CR_50_NAACCR record version",6,4,"Version 6 - 1998"
21830-5,Version,NAACCR_ID,50,LL219-7,"CR_50_NAACCR record version",7,5,"1999 Version (v.7)"
21830-5,Version,NAACCR_ID,50,LL219-7,"CR_50_NAACCR record version",8,6,"2000 Version (v.8)"
21830-5,Version,NAACCR_ID,50,LL219-7,"CR_50_NAACCR record version",9,7,"2001 and 2002 Version (v.9 and 9.1)"
21830-5,Version,NAACCR_ID,50,LL219-7,"CR_50_NAACCR record version",A,8,"2003 Version (Version 10 and 10.1)"
21830-5,Version,NAACCR_ID,50,LL219-7,"CR_50_NAACCR record version",Blank,9,"September 1989 version"
21832-1,"Coding system 1970&80&90",NAACCR_ID,120,LL71-2,"CR_120_Census tract-coding",0,1,"Not Tracted"
21832-1,"Coding system 1970&80&90",NAACCR_ID,120,LL71-2,"CR_120_Census tract-coding",1,2,"1970 Census (1973-77)"
21832-1,"Coding system 1970&80&90",NAACCR_ID,120,LL71-2,"CR_120_Census tract-coding",2,3,"1980 Census (1978-87)"
21832-1,"Coding system 1970&80&90",NAACCR_ID,120,LL71-2,"CR_120_Census tract-coding",3,4,"1990 Census (1988+)"
21832-1,"Coding system 1970&80&90",NAACCR_ID,120,LL71-2,"CR_120_Census tract-coding",4,5,"2000 Census"
21833-9,"Alternate census tract at cancer XXX Dx",NAACCR_ID,130,LL85-2,"CR_130_Alternate census tract",000000,1,"Area not census-tracted"
21833-9,"Alternate census tract at cancer XXX Dx",NAACCR_ID,130,LL85-2,"CR_130_Alternate census tract",999999,2,"Area census-tracted, but census tract is not available"
21834-7,"Coding system",NAACCR_ID,140,LL95-1,"CR_140_Census tract coding",0,1,"Not Tracted"
21834-7,"Coding system",NAACCR_ID,140,LL95-1,"CR_140_Census tract coding",1,2,"1970 Census Tract Definitions"
21834-7,"Coding system",NAACCR_ID,140,LL95-1,"CR_140_Census tract coding",2,3,"1980 Census Tract Definitions"
