item,name,format,allow_value,length,note
10,Record Type,,"I, C, A, U, M, L",1,
20,Patient ID Number,"Right justified, zero filled",,8,
21,Patient System ID-Hosp,"Right justified, zero filled",,8,
30,Registry Type,,1-3,1,
35,FIN Coding System,,,,Retired
37,Reserved 00,,,14,
40,Registry ID,"Right justified, zero filled",10-digit number. Reference to EDITS table REGID.DBF in Appendix B,10,
45,NPI--Registry ID,,"10-digit NPI code (9-digit integer plus 1 check digit), blank",10,
50,NAACCR Record Version,,"120, 121, 122, 130, 140, 150, 160, 180",3,Revised
60,Tumor Record Number,"Right justified, zero filled",01-99,2,
70,Addr at DX--City,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",City name or UNKNOWN,50,
80,Addr at DX--State,Upper case,"Refer to EDITS table STATE.DBF in Appendix B; CD, US, XX, YY, ZZ",2,
81,State at DX Geocode 1970/80/90,,"01-95, Blank",2,New
82,State at DX Geocode 2000,,"01-95, Blank",2,New
83,State at DX Geocode 2010,,"01-95, Blank",2,New
84,State at DX Geocode 2020,,"01-95, Blank",2,New
89,County at DX Analysis,,"001-997, 998, 999",3,New
90,County at DX Reported,"Right justified, zero filled",001-999,3,Revised
94,County at DX Geocode 1970/80/90,,000-999,3,Revised
95,County at DX Geocode2000,,001-999,3,Revised
96,County at DX Geocode2010,,000-999,3,Revised
97,County at DX Geocode2020,,001-999,3,Revised
100,Addr at DX--Postal Code,"Numbers or upper case letters. No special characters or embedded spaces allowed. Left justified, blank filled","5-digit or 9-digit U.S. ZIP codes; 6-character Canadian postal codes; valid postal codes from other countries, 888888888, 999999999, 88888+4 blanks (U.S.), 99999+4 blanks (U.S.), 999999+3 blanks (Canada)",9,
102,Addr at DX--Country,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes and custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL",3,
110,Census Tract 1970/80/90,"Right justified, zero filled","Valid FIPS Codes: 000100-999998, 000000, 999999, Blank",6,Revised
120,Census Cod Sys 1970/80/90,,"0-3, blank",1,
125,Census Tract 2020,"Right justified, zero filled","Census Tract Codes 000100-999998, 000000, 999999, Blank",6,New
130,Census Tract 2000,"Right justified, zero filled","Valid FIPS Codes: 000100-999998, 000000, 999999, blank",6,Revised
135,Census Tract 2010,"Right justified, zero filled","Census Tract Codes 000100-999998, 000000, 999999, blank",6,
140,Census Tract Cod Sys--Alt,,,,Retired
145,Census Tr Poverty Indictr,,"1-4, 9",1,
150,Marital Status at DX,,"1-6, 9",1,
160,Race 1,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 96-99",2,
161,Race 2,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",2,
162,Race 3,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",2,
163,Race 4,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",2,
164,Race 5,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",2,
170,Race Coding Sys--Current,,"1-7, 9",1,
180,Race Coding Sys--Original,,"1-7, 9",1,
190,Spanish/Hispanic Origin,,"0-8, 9",1,
191,NHIA Derived Hisp Origin,,"0-8, blank",1,
192,IHS Link,,"0, 1, blank",1,
193,Race--NAPIIA(derived API),"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 96, 99, blank",2,
200,Computed Ethnicity,,"0-7, blank",1,
210,Computed Ethnicity Source,,"0-9, blank",1,
220,Sex,,"1-6, 9",1,
230,Age at Diagnosis,"Right justified, zero filled","000-120, 999",3,
240,Date of Birth,YYYYMMDD,Valid date,8,
241,Date of Birth Flag,,"10-20, blank",2,
250,Birthplace,"Right justified, zero filled",Reference to EDITS table BPLACE.DBF in Appendix B,3,
252,Birthplace--State,Upper case,"USPS abbreviations and CanadaPost abbreviations; also a few local codes to capture legacy definitions, including unknowns, consistent with the codes allowable for Addr at Dx--State [80].",2,
254,Birthplace--Country,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes; custom codes:ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL. See Appendix B for complete list of country names and corresponding three character alpha codes.",3,
260,Religion,,,,Retired
270,Census Occ Code 1970-2000,"Right justified, zero filled",Reference Industry and Occupation Coding for Death Certificates,3,
272,Census Ind Code 2010 CDC,"Right justified, zero filled","Valid 4 digit numbers, Blank",4,
280,Census Ind Code 1970-2000,"Right justified, zero filled",Reference Industry and Occupation Coding for Death Certificates,3,
282,Census Occ Code 2010 CDC,"Right justified, zero filled","Valid 4-digit numbers, Blank",4,
290,Occupation Source,,"0-3, 7-9, blank",1,
300,Industry Source,,"0-3, 7-9, blank",1,
310,Text--Usual Occupation,Free text,Neither carriage return nor line feed characters allowed,100,
320,Text--Usual Industry,Free text,Neither carriage return nor line feed characters allowed,100,
330,Census Occ/Ind Sys 70-00,,"1-5, 7, 9, blank",1,
339,RUCA 2000,,"1, 2, 9",1,New
340,Tobacco History,,,,Retired
341,RUCA 2010,,"1, 2, 9",1,New
345,URIC 2000,,"1-4, 9",1,New
346,URIC 2010,,"1-4, 9",1,New
350,Alcohol History,,,,Retired
351,GeoLocationID - 1970/80/90,,,12,New
352,GeoLocationID - 2000,,,12,New
353,GeoLocationID - 2010,,,12,New
354,GeoLocationID - 2020,,,12,New
360,Family History of Cancer,,,,Retired
361,Census Block Group 2020,,"0-9, Blank",1,New
362,Census Block Group 2000,,"0-9, blank",1,
363,Census Block Group 2010,,"0-9, blank",1,
364,Census Tr Cert 1970/80/90,,"1-6, 9, blank",1,
365,Census Tr Certainty 2000,,"1-6, 9, blank",1,
366,GIS Coordinate Quality,"Right justified, zero filled","00-12, 98, 99, blank",2,
367,Census Tr Certainty 2010,,"1-6, 9, blank",1,
368,Census Block Grp 1970/80/90,,"0-9, blank",1,Revised
369,Census Tract Certainty 2020,,"1-6, 9, Blank",1,New
370,Reserved 01,,,16,Revised
380,Sequence Number--Central,"Right justified, zero filled","00-59, 60-87, 88, 98, 99",2,
390,Date of Diagnosis,YYYYMMDD,Valid date,8,
391,Date of Diagnosis Flag,,"10-20, blank",2,
400,Primary Site,"C followed by 3 digits, no special characters, no embedded blanks",Refer to ICD-O-3 (decimals are dropped),4,
410,Laterality,,"0-5, 9",1,
419,Morph--Type&Behav ICD-O-2,,Reference to ICD-0-2,5,
420,Histology (92-00) ICD-O-2,,"8000-9989, Refer to ICD-0-2",4,
430,Behavior (92-00) ICD-O-2,,"0-3, Refer to ICD-0-2",1,
439,Date of Mult Tumors Flag,,"10-20, blank",2,
440,Grade,,1-9,1,
441,Grade Path Value,,"1-4, blank",1,
442,Ambiguous Terminology DX,,"0-2, 9",1,
443,Date Conclusive DX,YYYYMMDD,Valid date,8,
444,Mult Tum Rpt as One Prim,"Right justified, zero filled","00, 10-12, 20, 30-32, 40, 80, 88, 99",2,
445,Date of Mult Tumors,YYYYMMDD,Valid date,8,
446,Multiplicity Counter,"Right justified, zero filled","00-89, 99, blank",2,
447,Number of Tumors/Hist,,,,Retired
448,Date Conclusive DX Flag,,"10-20, blank",2,
449,Grade Path System,,"2-4, blank",1,
450,Site Coding Sys--Current,,"1-6, 9",1,
460,Site Coding Sys--Original,,"1-6, 9",1,
470,Morph Coding Sys--Current,,"1-9, A",1,Revised
480,Morph Coding Sys--Originl,,"1-9, A",1,Revised
490,Diagnostic Confirmation,,1-9,1,
500,Type of Reporting Source,,1-8,1,
501,Casefinding Source,,"10, 20-30, 40, 50, 60, 70, 75, 80, 85, 90, 95, 99",2,
510,Screening Date,,,,Retired
520,Screening Result,,,,Retired
521,Morph--Type&Behav ICD-O-3,,Refer to ICD-O-3,5,
522,Histologic Type ICD-O-3,,"8000-9989, Refer to ICD-O-3",4,
523,Behavior Code ICD-O-3,,"0-3, Refer to ICD-O-3",1,
530,Reserved 02,,,50,
538,Reporting Hospital FAN,,,,Retired
540,Reporting Facility,"Right justified, zero filled",10-digit number,10,
545,NPI--Reporting Facility,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",10,
550,Accession Number--Hosp,,9-digit number,9,
560,Sequence Number--Hospital,"Right justified, zero filled","00-59, 60-87, 88, 99",2,
570,Abstracted By,No special characters,Letters and numbers,3,
580,Date of 1st Contact,YYYYMMDD,Valid dates,8,
581,Date of 1st Contact Flag,,"10-20, blank",2,
590,Date of Inpt Adm,YYYYMMDD,Valid dates,8,
591,Date of Inpt Adm Flag,,"10-20, blank",2,
600,Date of Inpt Disch,YYYYMMDD,Valid dates,8,
601,Date of Inpt Disch Flag,,"10-20, blank",2,
605,Inpatient Status,,"0,1,9, blank",1,
610,Class of Case,"Right justified, zero filled","00, 10-14, 20-22, 30-38, 40-43, 49, 99",2,
620,Year First Seen This CA,,,,Retired
630,Primary Payer at DX,"Right justified, zero filled","01, 02, 10, 20, 21, 31, 35, 60-68, 99",2,
640,Inpatient/Outpt Status,,,,Retired
650,Presentation at CA Conf,,,,Retired
660,Date of CA Conference,,,,Retired
665,RX Hosp--ASA Class,,,,Retired
668,RX Hosp--Surg App 2010,,"0-5, 9",1,
670,RX Hosp--Surg Prim Site,"Right justified, zero filled","00, 10-80, 90, 98, 99 (site-specific)",2,
672,RX Hosp--Scope Reg LN Sur,,"0-7, 9",1,
674,RX Hosp--Surg Oth Reg/Dis,,"0-5, 9",1,
676,RX Hosp--Reg LN Removed,"Right justified, zero filled","00-90, 95-99",2,
678,RX Hosp--Surg Timing,,,,Retired
680,Reserved 03,,,100,
682,Date Regional Lymph Node Dissection,YYYYMMDD,Valid dates,8,New
683,Date Regional Lymph Node Dissection Flag,,"10-12, Blank",2,New
690,RX Hosp--Radiation,,"0-5, 9",1,
700,RX Hosp--Chemo,"Right justified, zero filled","00-03, 82, 85-88, 99",2,
710,RX Hosp--Hormone,"Right justified, zero filled","00, 01, 82, 85-88, 99",2,
720,RX Hosp--BRM,"Right justified, zero filled","00, 01, 82, 85-88, 99",2,
730,RX Hosp--Other,,"0-3, 6-9",1,
740,RX Hosp--DX/Stg Proc,"Right justified, zero filled","00-07, 09",2,
742,RX Hosp--Screen/BX Proc1,,,,Retired
743,RX Hosp--Screen/BX Proc2,,,,Retired
744,RX Hosp--Screen/BX Proc3,,,,Retired
745,RX Hosp--Screen/BX Proc4,,,,Retired
746,RX Hosp--Surg Site 98-02,"Right justified, zero filled","00, 10-90, 99 (site-specific), blank",2,
747,RX Hosp--Scope Reg 98-02,,"0-9 (site-specific), blank",1,
748,RX Hosp--Surg Oth 98-02,,"0-9 (site-specific), blank",1,
750,Reserved 04,,,50,Revised
752,Tumor Size Clinical,,"000-990, 998, 999",3,
754,Tumor Size Pathologic,,"000-990, 998, 999",3,
756,Tumor Size Summary,,"000-990, 998, 999",3,
759,SEER Summary Stage 2000,,"0-5, 7, 8, 9",1,
760,SEER Summary Stage 1977,,"0-5, 7, 8, 9",1,
762,Derived Summary Stage 2018,,"0-4, 7-9",1,Revised
764,Summary Stage 2018,,"0-4, 7-9",1,Revised
770,Loc/Reg/Distant Stage,,,,Retired
772,EOD Primary Tumor,,"Valid schema-specific codes; also 000, 800, 999",3,Revised
774,EOD Regional Nodes,,"Valid schema-specific codes; also 000, 800, 888, 999",3,Revised
776,EOD Mets,,"Valid schema-specific codes; also 00, 88, 99",2,Revised
779,Extent of Disease 10-Dig,,,12,
780,EOD--Tumor Size,"Right justified, zero filled",See respective source references,3,
785,Derived EOD 2018 T,,,15,New
790,EOD--Extension,"Right justified, zero filled",Reference SEER Extent of Disease manual,2,
795,Derived EOD 2018 M,,,15,New
800,EOD--Extension Prost Path,"Right justified, zero filled",Reference SEER Extent of Disease manual,2,
810,EOD--Lymph Node Involv,,Reference SEER Extent of Disease manual,1,
815,Derived EOD 2018 N,,,15,New
818,Derived EOD 2018 Stage Group,,,15,New
820,Regional Nodes Positive,"Right justified, zero filled","00-90, 95, 97-99",2,
830,Regional Nodes Examined,"Right justified, zero filled","00-90, 95-99",2,
832,Date of Sentinel Lymph Node Biopsy,YYYYMMDD,Valid dates,8,New
833,Date of Sentinel Lymph Node Biopsy Flag,,"10-12, Blank",2,New
834,Sentinel Lymph Nodes Examined,"Right justified, zero filled","00-90, 95, 98, 99",2,New
835,Sentinel Lymph Nodes Positive,"Right justified, zero filled","00-90, 95, 97-99",2,New
840,EOD--Old 13 Digit,Numeric and special characters,,13,
850,EOD--Old 2 Digit,"Numeric plus special characters ""&"" and ""dash"" (""-"")",,2,
860,EOD--Old 4 Digit,,,4,
870,Coding System for EOD,,"0-4, Blank",1,
