TABLE_NAME,FIELD_NAME,VALUESET_ITEM,VALUESET_ITEM_DESCRIPTOR,means_missing,item
TUMOR,IPSILATERAL_ADRENAL_GLAND_INVOLVEMENT,0,0=none,False,3861
TUMOR,IPSILATERAL_ADRENAL_GLAND_INVOLVEMENT,1,1=contiguous ,False,3861
TUMOR,IPSILATERAL_ADRENAL_GLAND_INVOLVEMENT,2,2=noncontiguous,False,3861
TUMOR,IPSILATERAL_ADRENAL_GLAND_INVOLVEMENT,3,3=contiguous and noncontiguous,False,3861
TUMOR,IPSILATERAL_ADRENAL_GLAND_INVOLVEMENT,4,"4=involvement, NOS",False,3861
TUMOR,IPSILATERAL_ADRENAL_GLAND_INVOLVEMENT,8,8=not applicable,True,3861
TUMOR,IPSILATERAL_ADRENAL_GLAND_INVOLVEMENT,9,9=unknown,True,3861
TUMOR,RAD_REGIONAL_RX_MODALITY,00,00=no radiation,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,20,"20=external beam, NOS",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,21,21=orthovoltage,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,22,"22=cobalt-60, cesium-137",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,23,23=photons (2-5 MV),False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,24,24=photons (6-10 MV),False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,25,25=photons (11-19 MV),False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,26,26=photons (> 19 MV),False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,27,27=photons (mixed energies),False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,28,28=electrons,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,29,29=photons and electrons mixed,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,30,"30=neutrons, with or without photons/electrons",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,31,31=IMRT,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,32,32=conformal or 3-D therapy,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,40,40=protons,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,41,"41=stereotactic radiosurgery, NOS",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,42,42=LINAC radiosurgery,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,43,43=gamma knife,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,50,"50=brachytherapy, NOS",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,51,"51=brachytherapy, intracavitary, LDR",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,52,"52=brachytherapy, intracavitary, HDR",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,53,"53=brachytherapy, interstitial, LDR",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,54,"54=brachytherapy, interstitial, HDR",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,55,55=radium,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,60,"60=radio-isotopes, NOS",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,61,61=strontium - 89,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,62,62=strontium - 90,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,80,"80=combination modality, specified",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,85,"85=combination modality, NOS",False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,98,98=other,False,1570
TUMOR,RAD_REGIONAL_RX_MODALITY,99,99=unknown,True,1570
TUMOR,RX_CODING_SYSTEM_CURRENT,00,00=not coded,False,1460
TUMOR,RX_CODING_SYSTEM_CURRENT,01,01=1-digit surgery codes,False,1460
TUMOR,RX_CODING_SYSTEM_CURRENT,02,02=1983-1992 SEER and 1983-1995 CoC,False,1460
TUMOR,RX_CODING_SYSTEM_CURRENT,03,03=1996 ROADS Manual,False,1460
TUMOR,RX_CODING_SYSTEM_CURRENT,04,04=1998 ROADS Manual,False,1460
TUMOR,RX_CODING_SYSTEM_CURRENT,05,05=1998 SEER Manual,False,1460
TUMOR,RX_CODING_SYSTEM_CURRENT,06,06=FORDS,False,1460
TUMOR,RX_CODING_SYSTEM_CURRENT,07,07=2010 SEER Coding Manual,False,1460
TUMOR,RX_CODING_SYSTEM_CURRENT,99,99=other,True,1460
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,00,00=none,False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,10,"10=bone marrow transplant, NOS",False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,11,"11=bone marrow transplant, autologous",False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,12,"12=bone marrow transplant, allogeneic",False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,20,20=stem cell harvest and infusion,False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,30,30=endocrine surgery/radiation,False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,40,40=endocrine surgery/radiation and transplant,False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,82,"82=not administered, patient risk",False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,85,"85=not administered, patient death",False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,86,"86=recommended, not administered, NOS",False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,87,"87=recommended, refused",False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,88,"88=recommended, unknown if administered",False,3250
TUMOR,RX_SUMM_TRANSPLNT_ENDOCR,99,99=unknown,True,3250
TUMOR,ANEMIA,0,0=anemic,False,3811
TUMOR,ANEMIA,1,1=not anemic,False,3811
TUMOR,ANEMIA,6,"6=stated anemic, results unknown",False,3811
TUMOR,ANEMIA,7,"7=test ordered, results unknown",True,3811
TUMOR,ANEMIA,9,9=unknown,True,3811
TUMOR,RURALURBAN_CONTINUUM2013,00,"00=central county, metropolitan area of 1,000,000+ population",False,3312
