item,xmlId,parentTag,description
570,abstractedBy,Tumor,An alphanumeric code assigned by the reporting facility that identifies the individual abstracting the case. 
550,accessionNumberHosp,Tumor,"Provides a unique identifier for the patient consisting of the year in which the patient was first seen at the reporting facility and the consecutive order in which the patient was abstracted.    The first four numbers specify the year and the last five numbers are the numeric order in which the patient was entered into the registry database. Within a registry, all primaries for an individual must have the same accession number. The first four digits must be greater than or equal to 1944. "
70,addrAtDxCity,Tumor,"Name of the city in which the patient resides at the time the reportable tumor was diagnosed. If the patient resides in a rural area, record the name of the city used in the mailing address. If the patient has multiple primaries, the city of residence may be different for each primary."
102,addrAtDxCountry,Tumor,"Country code for the address of the patient's residence at the time the reportable tumor is diagnosed. If the patient has multiple tumors, the country of residence may be different for each tumor. This data item became part of the NAACCR transmission record effective with Volume II, Version 13 in order to include country and state for each geographic item and to use interoperable codes. It supplements the item Addr at Dx--State [80]."
2330,addrAtDxNoStreet,Tumor,"The number and street address or rural mailing address of the patient's residence at the time the reportable tumor was diagnosed. Residential street address should not include PO Boxes. For consolidated records, street address may be based on reported or corrected residential address information."
100,addrAtDxPostalCode,Tumor,"Identifies the postal code of the patient’s address at diagnosis. For consolidated records, postal code may be based on reported or corrected residential address information. "
80,addrAtDxState,Tumor,"Identifies the patient’s state or province of residence at the time of diagnosis as identified by the Reporting Source. For consolidated records, the state may be based on reported or corrected residential address information."
2335,addrAtDxSupplementl,Tumor,"Provides the ability to store additional address information such as the name of a place or facility (for example a nursing home, apartment complex, jail or PO Box residential or other mailing address) at the time of diagnosis."
1810,addrCurrentCity,Patient,"Name of city of the patient’s current usual residence. If the patient has multiple tumors, the current city of residence should be the same for all tumors. "
1832,addrCurrentCountry,Patient,"Country code for the address of patient’s current usual residence. If the patient has multiple tumors, the current country of residence should be the same for all tumors. This data item became part of the NAACCR transmission record effective with Volume II, Version 13 in order to include country and state for each geographic item and to use interoperable codes. It supplements the item Addr Current--State [1820].  "
2350,addrCurrentNoStreet,Patient,"The number and street address or the rural mailing address of the patient’s current usual residence. This can be used to generate a follow-up inquiry, and must correspond to other fields in the current address. If the patient has multiple tumors, the current address should be the same. Additional address information such as facility, nursing home, or name of apartment complex should be entered in item Addr Current--Supplemental [2335].U.S. addresses should conform to the USPS Postal Addressing Standards. These standards are referenced in USPS Pub. 28, July, 2008, Postal Addressing Standards. The current USPS Pub. 28 may be found and downloaded from the following website: http://pe.usps.gov/cpim/ftp/pubs/Pub28/pub28.pdf.Canadian addresses should conform to the Canada Postal Guide. The current Canadian Postal Address standards may be found at the following website: http://www.canadapost.ca. "
1830,addrCurrentPostalCode,Patient,"Postal code for the address of the patient’s current usual residence. If the patient has multiple tumors, the postal codes should be the same. For U.S. residents, use either the 5-digit or the extended 9-digit ZIP code. Blanks follow the 5-digit code. For Canadian residents, use the 6-character alphanumeric postal code. Blanks follow the 6-character code. When available, enter postal code for other countries. "
1820,addrCurrentState,Patient,"USPS abbreviation for the state, territory, commonwealth, U.S. possession, or CanadaPost abbreviation for the Canadian province/territory of the patient’s current usual residence. If the patient has multiple tumors, the current state of residence should be the same for all tumors. Effective with NAACCR Volume II, Version 13 a new data item, Addr Current--Country [1832] was added to the standard transmission record layout. The UDS Committee expects the new items to supplement the use of Addr Current--State [80]. "
